,annualized volatility
2017-01,2.060632236584541
2017-02,2.029398451248398
2017-03,2.0156285105913314
2017-04,2.0059046607306636
2017-05,2.0132737168158403
2017-06,2.038647766644658
2017-07,2.0467967007593404
2017-08,2.0476690995339033
2017-09,2.048978753355208
2017-10,2.0122920548024124
2017-11,2.030868218812464
2017-12,2.010044960685602
2018-01,2.020799320001062
2018-02,2.0608868860511422
2018-03,2.1071640654337225
2018-04,2.105321846169065
2018-05,2.12883608257678
2018-06,2.1272191903937925
2018-07,2.104575887170848
2018-08,2.0363184104720764
2018-09,2.019122695850194
2018-10,2.1002248188232904
2018-11,2.1544452376418746
2018-12,2.177839038151111
2019-01,2.169193116852506
2019-02,2.067043226528828
2019-03,2.071386727597012
2019-04,2.0705976564286286
2019-05,2.1066725405916267
2019-06,2.11645741852249
2019-07,2.140247251934083
2019-08,2.1660471297995514
2019-09,2.1596670296944427
2019-10,2.162094894203401
2019-11,2.131541060045546
2019-12,2.136982733958463
2020-01,2.1631131636684846
2020-02,2.259601918378499
2020-03,2.5416529434953388
2020-04,2.645327677393292
2020-05,2.64494715926412
2020-06,2.6871924149780964
2020-07,2.7286776665173935
2020-08,2.7811750575550924
2020-09,2.8345371169067723
2020-10,2.8742652562721904
2020-11,2.8692024864111882
2020-12,2.8631923495907663
2021-01,2.8658555553767324
2021-02,2.87839549930059
2021-03,2.8804908934771807
2021-04,2.8816810017377774
2021-05,2.8947619658440553
2021-06,2.883438383379108
2021-07,2.8935131950245085
2021-08,2.886326993520173
2021-09,2.898276475466336
2021-10,2.847500942356076
2021-11,2.8135305990270187
2021-12,2.772774691323789
2022-01,2.829164995417981
2022-02,2.876756281288974
2022-03,2.950659217542231
2022-04,3.0313322032514436
2022-05,3.080248525261405
2022-06,3.1523944529729713
2022-07,3.162785605219664
2022-08,3.2078757432860785
2022-09,3.244992371863391
2022-10,3.290003051431522
2022-11,3.353558913870817
2022-12,3.3814206001628846
2023-01,3.448632024759422
2023-02,3.399447209936601
2023-03,3.2195172439100115
2023-04,3.1441720411020353
2023-05,3.1688648330729663
2023-06,3.1291688058310676
2023-07,3.0997010925014554
2023-08,3.0688628297863185
2023-09,3.0262455694853627
2023-10,3.0250186835352926
2023-11,3.022150058527966
2023-12,3.0237101489164355
